,te_Y,valid1,valid2,valid3,valid4,valid5,te_score,te_conf
75,1,0.671,0.658,0.67,0.667,0.679,0.669,0.0
76,1,0.686,0.664,0.68,0.655,0.71,0.679,0.0
77,0,0.67,0.652,0.653,0.64,0.55,0.633,0.325
78,1,0.686,0.664,0.68,0.655,0.71,0.679,0.0
79,0,0.426,0.514,0.388,0.453,0.436,0.443,0.0
80,0,0.686,0.664,0.68,0.655,0.71,0.679,0.0
81,0,0.671,0.658,0.67,0.667,0.679,0.669,0.0
82,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
83,1,0.671,0.658,0.67,0.667,0.679,0.669,0.0
84,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
85,1,0.686,0.664,0.68,0.655,0.71,0.679,0.0
86,0,0.692,0.735,0.684,0.683,0.716,0.702,0.0
87,1,0.658,0.664,0.652,0.635,0.63,0.648,0.004
88,1,0.68,0.664,0.64,0.639,0.58,0.641,0.212
89,0,0.441,0.333,0.359,0.314,0.345,0.358,0.0
90,1,0.15,0.202,0.179,0.249,0.247,0.205,0.0
91,1,0.216,0.133,0.211,0.159,0.203,0.184,0.0
92,1,0.674,0.664,0.629,0.635,0.579,0.636,0.248
93,1,0.67,0.652,0.653,0.64,0.55,0.633,0.325
94,0,0.67,0.652,0.653,0.64,0.55,0.633,0.325
95,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
96,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
97,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
98,1,0.989,0.976,0.981,0.974,0.997,0.983,0.0
99,1,0.989,0.976,0.981,0.974,0.997,0.983,0.0
100,1,0.984,0.972,0.988,0.966,0.997,0.981,0.0
101,1,0.988,0.968,0.97,0.973,0.995,0.979,0.0
102,1,0.989,0.976,0.981,0.974,0.997,0.983,0.0
103,1,0.987,0.98,0.985,0.971,0.997,0.984,0.0
104,1,0.989,0.976,0.981,0.974,0.997,0.983,0.0
105,1,0.982,0.951,0.953,0.966,0.992,0.969,0.0
106,1,0.982,0.951,0.953,0.966,0.992,0.969,0.0
107,1,0.982,0.951,0.953,0.966,0.992,0.969,0.0
108,1,0.982,0.951,0.953,0.966,0.992,0.969,0.0
109,1,0.989,0.976,0.981,0.974,0.997,0.983,0.0
110,1,0.982,0.951,0.953,0.966,0.992,0.969,0.0
111,1,0.982,0.951,0.953,0.966,0.992,0.969,0.0
112,1,0.982,0.951,0.953,0.966,0.992,0.969,0.0
113,1,0.988,0.968,0.97,0.973,0.995,0.979,0.0
114,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
115,1,0.982,0.951,0.953,0.966,0.992,0.969,0.0
116,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
117,1,0.989,0.976,0.981,0.974,0.997,0.983,0.0
118,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
119,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
120,1,0.987,0.98,0.985,0.971,0.997,0.984,0.0
121,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
122,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
123,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
124,1,0.988,0.968,0.97,0.973,0.995,0.979,0.0
125,1,0.989,0.976,0.981,0.974,0.997,0.983,0.0
126,1,0.989,0.976,0.981,0.974,0.997,0.983,0.0
127,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
128,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
129,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
130,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
131,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
132,0,0.671,0.658,0.67,0.667,0.679,0.669,0.0
133,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
134,0,0.361,0.289,0.355,0.299,0.314,0.323,0.0
135,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
136,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
137,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
138,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
139,0,0.686,0.664,0.68,0.655,0.71,0.679,0.0
140,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
141,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
142,1,0.685,0.623,0.74,0.693,0.689,0.686,0.026
143,0,0.361,0.289,0.355,0.299,0.314,0.323,0.0
144,0,0.361,0.289,0.355,0.299,0.314,0.323,0.0
145,0,0.441,0.333,0.359,0.314,0.345,0.358,0.0
146,1,0.441,0.333,0.359,0.314,0.345,0.358,0.0
147,1,0.434,0.36,0.404,0.359,0.377,0.387,0.0
148,0,0.671,0.658,0.67,0.667,0.679,0.669,0.0
149,1,0.671,0.658,0.67,0.667,0.679,0.669,0.0
150,1,0.686,0.664,0.68,0.655,0.71,0.679,0.0
151,1,0.671,0.658,0.67,0.667,0.679,0.669,0.0
152,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
153,0,0.361,0.289,0.355,0.299,0.314,0.323,0.0
154,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
155,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
156,1,0.434,0.36,0.404,0.359,0.377,0.387,0.0
157,1,0.434,0.36,0.404,0.359,0.377,0.387,0.0
158,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
159,1,0.67,0.652,0.653,0.64,0.55,0.633,0.325
160,1,0.686,0.664,0.68,0.655,0.71,0.679,0.0
161,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
162,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
163,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
164,1,0.67,0.664,0.655,0.635,0.663,0.657,0.0
165,1,0.671,0.658,0.67,0.667,0.679,0.669,0.0
166,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
167,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
168,1,0.685,0.623,0.74,0.693,0.689,0.686,0.026
169,1,0.685,0.623,0.74,0.693,0.689,0.686,0.026
170,0,0.858,0.82,0.847,0.872,0.874,0.854,0.0
171,0,0.685,0.623,0.74,0.693,0.689,0.686,0.026
172,0,0.685,0.623,0.74,0.693,0.689,0.686,0.026
173,0,0.982,0.951,0.953,0.966,0.992,0.969,0.0
174,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
175,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
176,1,0.671,0.658,0.67,0.667,0.679,0.669,0.0
177,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
178,1,0.686,0.664,0.68,0.655,0.71,0.679,0.0
179,1,0.953,0.889,0.899,0.937,0.97,0.929,0.0
180,1,0.138,0.086,0.152,0.11,0.154,0.128,0.0
181,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
182,1,0.982,0.951,0.953,0.966,0.992,0.969,0.0
183,0,0.858,0.82,0.847,0.872,0.874,0.854,0.0
184,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
185,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
186,1,0.858,0.82,0.847,0.872,0.874,0.854,0.0
187,1,0.858,0.82,0.847,0.872,0.874,0.854,0.0
188,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
189,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
190,1,0.972,0.927,0.928,0.954,0.987,0.954,0.0
191,1,0.434,0.36,0.404,0.359,0.377,0.387,0.0
