,te_Y,valid1,valid2,valid3,valid4,valid5,te_score,te_conf
40,1,0.266,0.137,0.279,0.148,0.096,0.185,0.0
41,1,0.316,0.243,0.19,0.274,0.147,0.234,0.0
42,1,0.986,0.883,0.88,0.834,0.914,0.899,0.0
43,1,0.883,0.671,0.66,0.682,0.853,0.75,0.08
44,1,0.609,0.726,0.693,0.586,0.505,0.624,0.449
45,1,0.712,0.89,0.611,0.688,0.721,0.724,0.112
46,0,0.675,0.637,0.534,0.759,0.826,0.686,0.236
47,0,0.435,0.358,0.33,0.339,0.373,0.367,0.0
48,0,0.323,0.556,0.255,0.349,0.35,0.367,0.007
49,0,0.048,0.089,0.036,0.156,0.047,0.075,0.0
50,0,0.075,0.096,0.088,0.309,0.077,0.129,0.0
51,0,0.057,0.089,0.048,0.15,0.059,0.08,0.0
52,0,0.065,0.097,0.055,0.145,0.067,0.086,0.0
53,0,0.141,0.112,0.104,0.179,0.086,0.124,0.0
54,0,0.095,0.095,0.092,0.15,0.081,0.103,0.0
55,1,0.05,0.086,0.042,0.149,0.048,0.075,0.0
56,0,0.073,0.12,0.064,0.182,0.086,0.105,0.0
57,0,0.671,0.488,0.9,0.606,0.557,0.645,0.413
58,0,0.68,0.894,0.602,0.65,0.63,0.691,0.229
59,1,0.137,0.236,0.187,0.232,0.172,0.193,0.0
60,0,0.12,0.123,0.077,0.228,0.108,0.131,0.0
61,1,0.097,0.107,0.056,0.189,0.097,0.109,0.0
62,0,0.66,0.638,0.655,0.668,0.614,0.647,0.042
63,1,0.915,0.821,0.717,0.835,0.874,0.832,0.0
64,1,0.682,0.515,0.468,0.451,0.826,0.589,0.431
65,0,0.715,0.53,0.463,0.432,0.666,0.561,0.318
66,0,0.915,0.821,0.717,0.835,0.874,0.832,0.0
67,0,0.101,0.147,0.058,0.174,0.169,0.13,0.0
68,1,0.26,0.212,0.098,0.322,0.214,0.221,0.0
69,0,0.272,0.474,0.087,0.409,0.419,0.332,0.022
70,0,0.173,0.225,0.096,0.262,0.372,0.226,0.0
71,1,0.814,0.734,0.397,0.634,0.297,0.575,0.423
72,1,0.901,0.924,0.779,0.836,0.858,0.86,0.0
73,0,0.703,0.764,0.432,0.567,0.638,0.621,0.475
74,0,0.9,0.857,0.871,0.9,0.933,0.892,0.0
75,1,0.952,0.911,0.8,0.908,0.943,0.903,0.0
76,1,0.986,0.979,0.951,0.957,0.971,0.969,0.0
77,0,0.924,0.877,0.764,0.877,0.933,0.875,0.0
78,1,0.786,0.745,0.68,0.787,0.856,0.771,0.003
79,0,0.166,0.213,0.09,0.245,0.311,0.205,0.0
80,0,0.695,0.509,0.749,0.577,0.751,0.656,0.331
81,0,0.865,0.724,0.664,0.706,0.835,0.759,0.031
82,1,0.688,0.626,0.497,0.587,0.566,0.593,0.373
83,1,0.157,0.276,0.286,0.235,0.192,0.229,0.0
84,1,0.819,0.716,0.735,0.696,0.779,0.749,0.001
85,1,0.171,0.289,0.24,0.222,0.217,0.228,0.0
86,0,0.388,0.443,0.372,0.31,0.476,0.398,0.0
87,1,0.477,0.566,0.678,0.435,0.481,0.527,0.16
88,1,0.14,0.147,0.148,0.19,0.153,0.156,0.0
89,0,0.191,0.155,0.263,0.295,0.249,0.23,0.0
90,1,0.095,0.109,0.051,0.163,0.109,0.105,0.0
91,1,0.122,0.129,0.099,0.197,0.128,0.135,0.0
92,1,0.649,0.621,0.459,0.655,0.514,0.58,0.335
93,1,0.637,0.542,0.648,0.657,0.535,0.604,0.428
94,0,0.733,0.709,0.613,0.792,0.809,0.731,0.046
95,1,0.756,0.728,0.83,0.84,0.93,0.817,0.002
96,1,0.995,0.991,0.991,0.99,0.997,0.993,0.0
97,1,0.998,0.998,0.997,0.995,0.999,0.997,0.0
98,1,0.996,0.997,0.996,0.991,0.997,0.996,0.0
99,1,0.987,0.976,0.985,0.967,0.988,0.981,0.0
100,1,0.98,0.97,0.983,0.946,0.98,0.972,0.0
101,1,0.998,0.998,0.998,0.997,0.999,0.998,0.0
102,1,0.999,0.999,0.998,0.997,0.999,0.998,0.0
103,1,0.997,0.997,0.997,0.992,0.997,0.996,0.0
104,1,0.998,0.999,0.997,0.995,0.998,0.997,0.0
105,1,0.999,0.999,0.999,0.997,0.999,0.999,0.0
106,1,0.999,0.999,0.999,0.996,0.999,0.998,0.0
107,1,0.998,0.999,0.998,0.993,0.999,0.997,0.0
108,1,0.999,1.0,0.999,0.997,0.999,0.999,0.0
109,1,0.996,0.997,0.995,0.988,0.994,0.994,0.0
110,1,0.989,0.991,0.996,0.978,0.992,0.989,0.0
111,1,0.994,0.99,0.994,0.984,0.995,0.992,0.0
112,1,0.993,0.99,0.993,0.984,0.994,0.991,0.0
113,1,0.999,0.999,0.999,0.999,1.0,0.999,0.0
114,1,0.997,0.996,0.996,0.994,0.999,0.996,0.0
115,1,0.999,0.999,0.998,0.997,0.999,0.998,0.0
116,1,0.979,0.95,0.968,0.957,0.981,0.967,0.0
117,1,0.979,0.963,0.981,0.954,0.989,0.973,0.0
118,1,0.987,0.978,0.983,0.97,0.991,0.982,0.0
119,1,0.996,0.995,0.994,0.995,0.997,0.995,0.0
120,1,0.99,0.982,0.994,0.975,0.992,0.986,0.0
121,1,0.991,0.987,0.992,0.983,0.995,0.989,0.0
122,1,0.997,0.996,0.996,0.994,0.998,0.996,0.0
123,1,0.996,0.995,0.994,0.994,0.996,0.995,0.0
124,1,0.997,0.996,0.997,0.994,0.998,0.996,0.0
125,1,0.996,0.995,0.996,0.989,0.996,0.994,0.0
126,1,0.997,0.996,0.997,0.992,0.998,0.996,0.0
127,1,0.998,0.994,0.992,0.991,0.995,0.994,0.0
128,1,0.996,0.996,0.993,0.988,0.991,0.993,0.0
129,1,0.998,0.996,0.995,0.994,0.989,0.994,0.0
130,1,0.998,0.998,0.998,0.987,0.998,0.996,0.0
131,1,0.994,0.993,0.992,0.991,0.996,0.993,0.0
132,0,0.077,0.114,0.05,0.167,0.07,0.096,0.0
133,0,0.107,0.118,0.082,0.179,0.105,0.118,0.0
134,0,0.066,0.098,0.029,0.16,0.041,0.079,0.0
135,0,0.06,0.094,0.024,0.158,0.042,0.076,0.0
136,0,0.583,0.628,0.37,0.736,0.709,0.605,0.474
137,0,0.212,0.24,0.045,0.42,0.347,0.253,0.002
138,0,0.074,0.112,0.032,0.172,0.055,0.089,0.0
139,0,0.221,0.298,0.134,0.345,0.221,0.244,0.0
140,0,0.213,0.229,0.145,0.349,0.224,0.232,0.0
141,0,0.336,0.351,0.242,0.44,0.312,0.336,0.0
142,1,0.72,0.534,0.678,0.678,0.749,0.672,0.216
143,0,0.133,0.15,0.075,0.286,0.15,0.159,0.0
144,0,0.479,0.265,0.472,0.377,0.439,0.406,0.004
145,0,0.127,0.14,0.066,0.178,0.116,0.125,0.0
146,1,0.576,0.401,0.436,0.513,0.297,0.445,0.039
147,1,0.715,0.507,0.619,0.562,0.722,0.625,0.446
148,0,0.806,0.513,0.647,0.679,0.693,0.668,0.282
149,1,0.556,0.358,0.529,0.406,0.548,0.479,0.05
150,1,0.795,0.603,0.668,0.578,0.649,0.658,0.276
151,1,0.479,0.265,0.472,0.377,0.439,0.406,0.004
152,0,0.835,0.59,0.704,0.704,0.783,0.723,0.094
153,0,0.65,0.406,0.581,0.527,0.616,0.556,0.25
154,1,0.715,0.507,0.619,0.562,0.722,0.625,0.446
155,0,0.812,0.683,0.756,0.664,0.87,0.757,0.032
156,1,0.52,0.28,0.448,0.477,0.694,0.484,0.164
157,1,0.812,0.683,0.756,0.664,0.87,0.757,0.032
158,1,0.459,0.404,0.321,0.264,0.443,0.378,0.001
159,1,0.495,0.313,0.324,0.479,0.328,0.388,0.003
160,1,0.835,0.789,0.7,0.723,0.899,0.789,0.008
161,1,0.863,0.701,0.759,0.723,0.839,0.777,0.005
162,1,0.989,0.965,0.96,0.96,0.974,0.97,0.0
163,1,0.992,0.987,0.985,0.989,0.99,0.989,0.0
164,1,0.833,0.681,0.872,0.844,0.875,0.821,0.002
165,1,0.144,0.123,0.056,0.192,0.061,0.115,0.0
166,1,0.995,0.993,0.996,0.991,0.998,0.995,0.0
167,1,0.913,0.93,0.903,0.936,0.959,0.928,0.0
168,1,0.793,0.849,0.775,0.861,0.943,0.844,0.0
169,1,0.796,0.673,0.767,0.841,0.763,0.768,0.003
170,0,0.929,0.925,0.916,0.938,0.91,0.924,0.0
171,0,0.796,0.673,0.767,0.841,0.763,0.768,0.003
172,0,0.929,0.913,0.908,0.905,0.955,0.922,0.0
173,0,0.97,0.979,0.949,0.952,0.976,0.965,0.0
174,1,0.929,0.913,0.908,0.905,0.955,0.922,0.0
175,1,0.992,0.994,0.989,0.985,0.99,0.99,0.0
176,1,0.943,0.871,0.944,0.898,0.972,0.926,0.0
177,1,0.983,0.982,0.959,0.969,0.985,0.976,0.0
178,1,0.859,0.94,0.721,0.769,0.914,0.841,0.003
179,1,0.967,0.971,0.95,0.939,0.977,0.961,0.0
180,1,0.72,0.665,0.584,0.765,0.653,0.677,0.151
181,1,0.976,0.974,0.942,0.945,0.974,0.962,0.0
182,1,0.993,0.995,0.985,0.988,0.99,0.99,0.0
183,0,0.823,0.812,0.819,0.904,0.855,0.843,0.0
184,1,0.997,0.996,0.994,0.997,0.998,0.997,0.0
185,1,0.997,0.996,0.992,0.993,0.998,0.995,0.0
186,1,0.972,0.953,0.916,0.921,0.976,0.948,0.0
187,1,0.982,0.965,0.934,0.935,0.984,0.96,0.0
188,0,0.752,0.514,0.44,0.573,0.635,0.583,0.387
189,1,0.968,0.97,0.968,0.866,0.929,0.94,0.0
190,1,0.998,0.998,0.997,0.995,0.999,0.997,0.0
191,1,0.589,0.783,0.558,0.747,0.824,0.7,0.209
