,tr_Y,valid1,valid2,valid3,valid4,valid5,tr_score,tr_conf
80,1,0.964,0.932,0.944,0.857,0.967,0.933,0.0
81,1,0.533,0.478,0.203,0.59,0.515,0.464,0.135
82,1,0.954,0.907,0.941,0.834,0.953,0.918,0.0
83,1,0.888,0.84,0.942,0.765,0.949,0.877,0.0
84,1,0.922,0.858,0.933,0.751,0.936,0.88,0.0
85,1,0.991,0.984,0.964,0.965,0.991,0.979,0.0
86,1,0.969,0.924,0.935,0.851,0.97,0.93,0.0
87,1,0.946,0.887,0.96,0.86,0.954,0.921,0.0
88,1,0.877,0.7,0.909,0.71,0.724,0.784,0.029
89,1,0.988,0.975,0.956,0.921,0.979,0.964,0.0
90,1,0.974,0.955,0.96,0.884,0.978,0.95,0.0
91,1,0.953,0.857,0.896,0.852,0.972,0.906,0.0
92,1,0.953,0.857,0.896,0.852,0.972,0.906,0.0
93,1,0.955,0.914,0.919,0.834,0.964,0.917,0.0
94,1,0.975,0.931,0.963,0.911,0.98,0.952,0.0
95,1,0.975,0.931,0.963,0.911,0.98,0.952,0.0
96,1,0.975,0.931,0.963,0.911,0.98,0.952,0.0
97,1,0.975,0.931,0.963,0.911,0.98,0.952,0.0
98,1,0.343,0.337,0.2,0.449,0.311,0.328,0.0
99,0,0.088,0.121,0.035,0.161,0.069,0.095,0.0
100,0,0.082,0.103,0.027,0.156,0.061,0.086,0.0
101,0,0.074,0.094,0.023,0.157,0.048,0.079,0.0
102,0,0.091,0.125,0.045,0.175,0.08,0.103,0.0
103,0,0.092,0.117,0.035,0.162,0.07,0.095,0.0
104,0,0.095,0.121,0.045,0.176,0.08,0.103,0.0
105,0,0.095,0.121,0.045,0.176,0.08,0.103,0.0
106,0,0.081,0.119,0.043,0.181,0.07,0.099,0.0
107,0,0.073,0.109,0.035,0.193,0.06,0.094,0.0
108,0,0.076,0.091,0.046,0.171,0.053,0.087,0.0
109,0,0.08,0.096,0.046,0.175,0.058,0.091,0.0
110,0,0.071,0.094,0.038,0.182,0.052,0.087,0.0
111,0,0.076,0.09,0.047,0.167,0.052,0.086,0.0
112,0,0.069,0.086,0.036,0.168,0.048,0.081,0.0
113,0,0.076,0.091,0.046,0.171,0.053,0.087,0.0
114,0,0.068,0.093,0.031,0.17,0.046,0.082,0.0
115,1,0.718,0.765,0.755,0.519,0.806,0.713,0.163
116,1,0.945,0.944,0.876,0.743,0.948,0.891,0.0
117,1,0.968,0.959,0.912,0.781,0.954,0.915,0.0
118,1,0.978,0.966,0.967,0.84,0.946,0.939,0.0
119,1,0.995,0.992,0.982,0.942,0.987,0.98,0.0
120,1,0.968,0.95,0.96,0.776,0.93,0.917,0.0
121,1,0.993,0.988,0.97,0.913,0.984,0.97,0.0
122,1,0.968,0.959,0.912,0.781,0.954,0.915,0.0
123,1,0.984,0.965,0.968,0.899,0.958,0.955,0.0
124,1,0.987,0.977,0.973,0.914,0.962,0.963,0.0
125,1,0.996,0.992,0.982,0.965,0.985,0.984,0.0
126,1,0.995,0.991,0.982,0.966,0.983,0.984,0.0
127,1,0.984,0.963,0.959,0.88,0.956,0.948,0.0
128,1,0.984,0.963,0.959,0.88,0.956,0.948,0.0
129,1,0.984,0.963,0.959,0.88,0.956,0.948,0.0
130,1,0.728,0.788,0.809,0.564,0.87,0.752,0.093
131,0,0.076,0.121,0.051,0.176,0.063,0.098,0.0
132,0,0.066,0.114,0.053,0.189,0.07,0.099,0.0
133,0,0.059,0.111,0.042,0.18,0.058,0.09,0.0
134,0,0.061,0.113,0.045,0.17,0.059,0.089,0.0
135,0,0.064,0.116,0.054,0.214,0.069,0.103,0.0
136,0,0.957,0.982,0.913,0.919,0.985,0.951,0.0
137,1,0.952,0.978,0.91,0.957,0.968,0.953,0.0
138,1,0.989,0.987,0.983,0.978,0.988,0.985,0.0
139,1,0.79,0.789,0.878,0.884,0.884,0.845,0.0
140,1,0.838,0.884,0.784,0.799,0.85,0.831,0.0
141,1,0.957,0.957,0.916,0.928,0.947,0.941,0.0
142,0,0.625,0.713,0.511,0.818,0.851,0.704,0.236
143,1,0.697,0.731,0.67,0.877,0.907,0.776,0.047
144,1,0.918,0.898,0.912,0.948,0.965,0.928,0.0
145,1,0.648,0.671,0.526,0.784,0.858,0.697,0.232
146,1,0.833,0.794,0.767,0.799,0.956,0.83,0.001
147,1,0.98,0.989,0.929,0.964,0.983,0.969,0.0
148,1,0.889,0.827,0.907,0.916,0.929,0.894,0.0
149,1,0.694,0.547,0.762,0.368,0.749,0.624,0.472
150,1,0.683,0.534,0.787,0.322,0.77,0.619,0.487
151,1,0.699,0.581,0.74,0.392,0.801,0.643,0.42
152,1,0.705,0.651,0.835,0.539,0.866,0.719,0.19
153,1,0.835,0.774,0.905,0.613,0.937,0.813,0.041
154,1,0.961,0.899,0.96,0.824,0.973,0.923,0.0
155,1,0.916,0.835,0.956,0.727,0.967,0.88,0.001
156,1,0.956,0.926,0.95,0.875,0.887,0.919,0.0
157,1,0.869,0.731,0.907,0.714,0.843,0.813,0.005
158,1,0.746,0.879,0.864,0.784,0.965,0.847,0.001
159,1,0.728,0.563,0.72,0.56,0.73,0.66,0.28
160,1,0.614,0.557,0.466,0.516,0.717,0.574,0.322
161,0,0.65,0.406,0.581,0.527,0.616,0.556,0.25
162,1,0.728,0.563,0.72,0.56,0.73,0.66,0.28
163,1,0.614,0.557,0.466,0.516,0.717,0.574,0.322
164,0,0.562,0.466,0.413,0.523,0.63,0.519,0.104
165,0,0.562,0.466,0.413,0.523,0.63,0.519,0.104
166,0,0.562,0.466,0.413,0.523,0.63,0.519,0.104
167,0,0.562,0.466,0.413,0.523,0.63,0.519,0.104
168,0,0.813,0.762,0.684,0.742,0.858,0.772,0.004
169,0,0.279,0.262,0.219,0.283,0.384,0.285,0.0
170,1,0.531,0.47,0.38,0.498,0.711,0.518,0.189
171,0,0.614,0.557,0.466,0.516,0.717,0.574,0.322
172,1,0.614,0.557,0.466,0.516,0.717,0.574,0.322
173,1,0.614,0.557,0.466,0.516,0.717,0.574,0.322
174,1,0.438,0.626,0.408,0.775,0.703,0.59,0.435
175,1,0.719,0.819,0.638,0.915,0.811,0.78,0.039
176,1,0.667,0.807,0.616,0.923,0.763,0.755,0.094
177,0,0.897,0.884,0.81,0.965,0.834,0.878,0.0
178,0,0.152,0.275,0.127,0.638,0.241,0.287,0.038
179,0,0.402,0.525,0.349,0.677,0.555,0.502,0.168
180,0,0.237,0.429,0.118,0.594,0.189,0.314,0.042
181,1,0.499,0.598,0.588,0.735,0.568,0.598,0.418
182,1,0.809,0.797,0.786,0.893,0.801,0.817,0.0
183,1,0.953,0.969,0.906,0.942,0.963,0.947,0.0
184,1,0.63,0.759,0.557,0.781,0.795,0.704,0.168
185,0,0.758,0.84,0.694,0.941,0.769,0.8,0.013
186,1,0.94,0.94,0.894,0.98,0.922,0.935,0.0
187,1,0.94,0.94,0.894,0.98,0.922,0.935,0.0
188,0,0.227,0.584,0.112,0.315,0.347,0.317,0.029
189,0,0.452,0.745,0.278,0.571,0.55,0.519,0.269
190,0,0.05,0.081,0.044,0.151,0.054,0.076,0.0
191,1,0.641,0.228,0.668,0.159,0.132,0.365,0.148
192,0,0.359,0.15,0.311,0.174,0.262,0.251,0.0
193,1,0.514,0.23,0.429,0.345,0.68,0.44,0.127
194,0,0.123,0.132,0.173,0.179,0.244,0.17,0.0
195,1,0.97,0.845,0.922,0.659,0.96,0.871,0.012
196,0,0.539,0.456,0.38,0.51,0.802,0.538,0.297
197,0,0.227,0.183,0.233,0.338,0.21,0.238,0.0
198,1,0.991,0.924,0.971,0.86,0.979,0.945,0.0
199,1,0.992,0.985,0.973,0.95,0.973,0.975,0.0
200,1,0.343,0.275,0.185,0.295,0.17,0.254,0.0
201,0,0.303,0.189,0.262,0.279,0.155,0.237,0.0
202,0,0.22,0.125,0.143,0.226,0.101,0.163,0.0
203,1,0.987,0.883,0.859,0.842,0.932,0.901,0.0
204,0,0.283,0.405,0.125,0.506,0.454,0.355,0.029
205,0,0.373,0.515,0.177,0.401,0.231,0.339,0.012
206,1,0.901,0.734,0.759,0.69,0.852,0.787,0.013
207,1,0.981,0.971,0.944,0.902,0.947,0.949,0.0
208,0,0.986,0.867,0.838,0.839,0.925,0.891,0.0
209,1,0.977,0.968,0.925,0.907,0.959,0.947,0.0
210,1,0.986,0.883,0.88,0.834,0.914,0.899,0.0
211,1,0.977,0.972,0.932,0.9,0.944,0.945,0.0
212,0,0.308,0.306,0.187,0.287,0.205,0.259,0.0
213,1,0.687,0.45,0.56,0.396,0.305,0.48,0.157
214,1,0.976,0.838,0.882,0.764,0.968,0.886,0.0
215,1,0.897,0.633,0.78,0.669,0.586,0.713,0.188
216,1,0.72,0.494,0.667,0.319,0.683,0.577,0.403
217,1,0.656,0.722,0.761,0.558,0.423,0.624,0.466
218,1,0.675,0.758,0.746,0.574,0.402,0.631,0.448
219,1,0.967,0.933,0.834,0.748,0.961,0.889,0.001
220,1,0.967,0.928,0.792,0.846,0.921,0.891,0.0
221,1,0.956,0.975,0.889,0.87,0.868,0.912,0.0
222,1,0.865,0.887,0.684,0.642,0.747,0.765,0.059
223,1,0.948,0.972,0.794,0.879,0.909,0.901,0.0
224,1,0.953,0.974,0.836,0.888,0.919,0.914,0.0
225,0,0.941,0.976,0.781,0.876,0.882,0.891,0.0
226,1,0.788,0.904,0.698,0.692,0.689,0.754,0.045
227,0,0.075,0.111,0.028,0.163,0.04,0.083,0.0
228,0,0.435,0.358,0.33,0.339,0.373,0.367,0.0
229,0,0.435,0.358,0.33,0.339,0.373,0.367,0.0
230,0,0.32,0.372,0.333,0.371,0.405,0.36,0.0
231,0,0.393,0.365,0.346,0.328,0.35,0.356,0.0
232,0,0.62,0.584,0.649,0.652,0.512,0.603,0.422
233,1,0.87,0.814,0.886,0.892,0.792,0.851,0.0
234,1,0.512,0.552,0.652,0.533,0.48,0.546,0.122
235,1,0.779,0.758,0.776,0.813,0.789,0.783,0.0
236,1,0.986,0.978,0.982,0.969,0.987,0.98,0.0
237,1,0.993,0.987,0.984,0.982,0.99,0.987,0.0
238,1,0.998,0.995,0.993,0.994,0.996,0.995,0.0
239,1,0.998,0.995,0.993,0.994,0.996,0.995,0.0
240,1,0.989,0.974,0.949,0.971,0.981,0.973,0.0
241,0,0.956,0.915,0.952,0.98,0.933,0.947,0.0
242,1,0.935,0.9,0.946,0.974,0.925,0.936,0.0
243,1,0.876,0.812,0.912,0.917,0.866,0.877,0.0
244,1,0.843,0.779,0.847,0.918,0.875,0.852,0.0
245,1,0.843,0.779,0.847,0.918,0.875,0.852,0.0
246,0,0.133,0.307,0.113,0.223,0.115,0.178,0.0
247,0,0.09,0.12,0.076,0.186,0.077,0.11,0.0
248,0,0.04,0.08,0.03,0.146,0.043,0.068,0.0
249,0,0.04,0.083,0.031,0.152,0.046,0.07,0.0
250,0,0.067,0.095,0.041,0.163,0.062,0.086,0.0
251,0,0.09,0.112,0.066,0.176,0.086,0.106,0.0
252,0,0.08,0.092,0.066,0.415,0.072,0.145,0.0
253,0,0.058,0.086,0.064,0.205,0.058,0.094,0.0
254,0,0.049,0.09,0.037,0.154,0.041,0.074,0.0
255,0,0.043,0.091,0.041,0.163,0.043,0.076,0.0
256,0,0.045,0.096,0.04,0.14,0.047,0.074,0.0
257,0,0.044,0.093,0.038,0.142,0.041,0.072,0.0
258,0,0.049,0.094,0.056,0.142,0.049,0.078,0.0
259,0,0.048,0.091,0.049,0.146,0.042,0.075,0.0
260,0,0.059,0.088,0.051,0.17,0.06,0.086,0.0
261,0,0.056,0.092,0.047,0.169,0.056,0.084,0.0
262,0,0.069,0.091,0.068,0.144,0.077,0.09,0.0
263,0,0.07,0.101,0.07,0.141,0.065,0.089,0.0
264,0,0.065,0.091,0.056,0.156,0.058,0.085,0.0
265,0,0.059,0.092,0.061,0.155,0.066,0.087,0.0
266,1,0.064,0.102,0.055,0.143,0.067,0.086,0.0
267,0,0.087,0.104,0.073,0.146,0.076,0.097,0.0
268,0,0.062,0.089,0.062,0.155,0.065,0.086,0.0
269,0,0.059,0.092,0.061,0.155,0.066,0.087,0.0
270,0,0.049,0.081,0.042,0.15,0.056,0.076,0.0
271,0,0.049,0.086,0.041,0.148,0.049,0.075,0.0
272,0,0.051,0.084,0.044,0.156,0.056,0.078,0.0
273,0,0.053,0.085,0.049,0.149,0.059,0.079,0.0
274,0,0.065,0.092,0.06,0.15,0.069,0.087,0.0
275,0,0.059,0.089,0.059,0.143,0.069,0.084,0.0
276,0,0.087,0.191,0.103,0.224,0.158,0.152,0.0
277,0,0.09,0.215,0.107,0.178,0.125,0.143,0.0
278,0,0.058,0.093,0.056,0.217,0.059,0.097,0.0
279,0,0.141,0.112,0.104,0.179,0.086,0.124,0.0
280,0,0.058,0.093,0.056,0.217,0.059,0.097,0.0
281,0,0.103,0.111,0.071,0.269,0.096,0.13,0.0
282,0,0.039,0.077,0.032,0.151,0.046,0.069,0.0
283,0,0.088,0.1,0.09,0.15,0.082,0.102,0.0
284,0,0.088,0.1,0.09,0.15,0.082,0.102,0.0
285,0,0.119,0.093,0.106,0.148,0.079,0.109,0.0
286,0,0.259,0.147,0.216,0.238,0.13,0.198,0.0
287,0,0.06,0.086,0.059,0.165,0.061,0.086,0.0
288,0,0.07,0.088,0.06,0.141,0.07,0.086,0.0
289,0,0.07,0.088,0.06,0.141,0.07,0.086,0.0
290,0,0.231,0.11,0.134,0.148,0.125,0.15,0.0
291,1,0.267,0.106,0.145,0.149,0.132,0.16,0.0
292,1,0.56,0.16,0.335,0.243,0.338,0.327,0.016
293,1,0.478,0.161,0.261,0.246,0.168,0.263,0.001
294,0,0.073,0.12,0.064,0.182,0.086,0.105,0.0
295,0,0.07,0.117,0.053,0.178,0.08,0.1,0.0
296,0,0.07,0.117,0.053,0.178,0.08,0.1,0.0
297,0,0.454,0.238,0.465,0.454,0.294,0.381,0.008
298,0,0.114,0.16,0.134,0.194,0.123,0.145,0.0
299,0,0.229,0.148,0.482,0.314,0.247,0.284,0.002
300,0,0.324,0.27,0.742,0.36,0.272,0.394,0.108
301,0,0.685,0.472,0.91,0.565,0.558,0.638,0.436
302,0,0.328,0.46,0.438,0.401,0.387,0.403,0.0
303,0,0.458,0.769,0.4,0.553,0.416,0.519,0.243
304,1,0.482,0.649,0.56,0.439,0.591,0.544,0.178
305,1,0.693,0.587,0.728,0.532,0.694,0.647,0.328
306,1,0.137,0.194,0.222,0.189,0.295,0.208,0.0
307,0,0.081,0.148,0.069,0.205,0.082,0.117,0.0
308,0,0.039,0.074,0.019,0.149,0.031,0.062,0.0
309,0,0.06,0.11,0.036,0.161,0.056,0.084,0.0
310,1,0.573,0.384,0.289,0.268,0.336,0.37,0.013
311,1,0.573,0.384,0.289,0.268,0.336,0.37,0.013
312,0,0.446,0.388,0.247,0.243,0.274,0.319,0.0
313,1,0.798,0.589,0.513,0.355,0.466,0.544,0.319
314,0,0.285,0.425,0.208,0.284,0.178,0.276,0.0
315,0,0.518,0.81,0.288,0.385,0.271,0.454,0.211
316,0,0.078,0.331,0.081,0.21,0.094,0.159,0.0
317,0,0.075,0.23,0.072,0.182,0.077,0.127,0.0
318,0,0.069,0.158,0.062,0.268,0.121,0.136,0.0
319,0,0.043,0.091,0.041,0.163,0.043,0.076,0.0
320,0,0.152,0.148,0.128,0.233,0.319,0.196,0.0
321,1,0.748,0.607,0.59,0.52,0.712,0.636,0.396
322,0,0.93,0.822,0.739,0.827,0.767,0.817,0.001
323,1,0.955,0.892,0.826,0.863,0.845,0.876,0.0
324,1,0.858,0.775,0.688,0.659,0.803,0.757,0.025
325,1,0.605,0.571,0.538,0.534,0.624,0.575,0.139
326,1,0.46,0.455,0.312,0.483,0.339,0.41,0.002
327,1,0.46,0.455,0.312,0.483,0.339,0.41,0.002
328,0,0.323,0.231,0.159,0.203,0.37,0.257,0.0
329,0,0.696,0.578,0.444,0.617,0.548,0.577,0.327
330,1,0.81,0.687,0.61,0.756,0.658,0.704,0.1
331,0,0.46,0.455,0.312,0.483,0.339,0.41,0.002
332,0,0.586,0.572,0.368,0.598,0.456,0.516,0.139
333,0,0.767,0.648,0.57,0.638,0.713,0.667,0.212
334,1,0.695,0.568,0.618,0.582,0.715,0.636,0.355
335,1,0.767,0.648,0.57,0.638,0.713,0.667,0.212
336,1,0.767,0.648,0.57,0.638,0.713,0.667,0.212
337,1,0.893,0.71,0.85,0.636,0.866,0.791,0.038
338,0,0.169,0.275,0.198,0.316,0.304,0.252,0.0
339,0,0.46,0.543,0.596,0.46,0.457,0.503,0.026
340,1,0.689,0.629,0.578,0.629,0.663,0.638,0.26
341,1,0.662,0.512,0.52,0.47,0.666,0.566,0.281
342,1,0.662,0.512,0.52,0.47,0.666,0.566,0.281
343,1,0.687,0.57,0.492,0.566,0.566,0.576,0.275
344,1,0.543,0.488,0.653,0.535,0.514,0.547,0.118
345,1,0.647,0.561,0.438,0.367,0.579,0.518,0.174
346,1,0.739,0.576,0.567,0.567,0.7,0.63,0.414
347,1,0.386,0.311,0.146,0.314,0.482,0.328,0.005
348,0,0.116,0.246,0.066,0.171,0.212,0.162,0.0
349,0,0.146,0.16,0.084,0.279,0.142,0.162,0.0
350,1,0.708,0.553,0.311,0.602,0.759,0.587,0.431
351,0,0.324,0.312,0.17,0.504,0.263,0.315,0.003
352,0,0.081,0.145,0.044,0.163,0.121,0.111,0.0
353,0,0.091,0.137,0.066,0.158,0.092,0.109,0.0
354,0,0.056,0.107,0.026,0.152,0.073,0.083,0.0
355,0,0.062,0.119,0.032,0.145,0.068,0.085,0.0
356,0,0.086,0.116,0.05,0.156,0.083,0.098,0.0
357,0,0.295,0.291,0.14,0.342,0.582,0.33,0.024
358,0,0.071,0.123,0.045,0.167,0.211,0.123,0.0
359,0,0.108,0.233,0.065,0.165,0.165,0.147,0.0
360,1,0.916,0.811,0.767,0.771,0.894,0.832,0.0
361,1,0.834,0.667,0.678,0.658,0.657,0.699,0.105
362,1,0.797,0.708,0.748,0.776,0.77,0.76,0.0
363,1,0.965,0.931,0.927,0.897,0.941,0.932,0.0
364,1,0.94,0.87,0.871,0.834,0.795,0.862,0.0
365,1,0.909,0.898,0.925,0.886,0.872,0.898,0.0
366,0,0.611,0.647,0.521,0.683,0.768,0.646,0.346
367,0,0.561,0.563,0.428,0.543,0.395,0.498,0.054
368,0,0.436,0.652,0.182,0.541,0.538,0.47,0.183
369,0,0.444,0.523,0.567,0.691,0.604,0.566,0.28
370,0,0.298,0.409,0.342,0.423,0.312,0.357,0.0
371,0,0.2,0.291,0.097,0.221,0.217,0.205,0.0
372,0,0.157,0.407,0.098,0.228,0.134,0.205,0.0
373,1,0.94,0.863,0.837,0.86,0.942,0.888,0.0
374,1,0.829,0.721,0.62,0.679,0.812,0.732,0.067
375,1,0.95,0.896,0.886,0.919,0.944,0.919,0.0
376,1,0.951,0.91,0.744,0.925,0.925,0.891,0.0
377,1,0.892,0.827,0.75,0.841,0.858,0.834,0.0
378,0,0.951,0.91,0.744,0.925,0.925,0.891,0.0
379,1,0.832,0.681,0.187,0.584,0.786,0.614,0.499
380,1,0.897,0.841,0.668,0.889,0.856,0.83,0.005
381,1,0.919,0.924,0.666,0.867,0.912,0.858,0.006
382,1,0.919,0.924,0.666,0.867,0.912,0.858,0.006
383,1,0.945,0.891,0.825,0.907,0.915,0.897,0.0
384,1,0.695,0.568,0.618,0.582,0.715,0.636,0.355
385,1,0.812,0.834,0.692,0.673,0.773,0.757,0.013
386,1,0.469,0.42,0.486,0.329,0.635,0.468,0.072
387,0,0.81,0.537,0.513,0.571,0.612,0.609,0.482
388,1,0.818,0.841,0.711,0.711,0.789,0.774,0.001
389,1,0.436,0.48,0.447,0.444,0.599,0.481,0.015
390,1,0.473,0.472,0.444,0.487,0.622,0.499,0.034
391,1,0.788,0.702,0.697,0.705,0.827,0.744,0.007
392,1,0.788,0.702,0.697,0.705,0.827,0.744,0.007
393,1,0.788,0.702,0.697,0.705,0.827,0.744,0.007
394,0,0.67,0.598,0.642,0.573,0.716,0.64,0.301
395,1,0.67,0.598,0.642,0.573,0.716,0.64,0.301
396,0,0.418,0.454,0.3,0.436,0.471,0.416,0.001
397,0,0.571,0.618,0.549,0.68,0.794,0.643,0.371
398,0,0.653,0.541,0.71,0.603,0.689,0.639,0.338
399,0,0.231,0.281,0.182,0.27,0.36,0.265,0.0
400,1,0.952,0.911,0.8,0.908,0.943,0.903,0.0
401,0,0.739,0.576,0.567,0.567,0.7,0.63,0.414
402,0,0.736,0.656,0.543,0.619,0.716,0.654,0.28
403,1,0.713,0.602,0.603,0.568,0.694,0.636,0.347
404,1,0.748,0.607,0.59,0.52,0.712,0.636,0.396
405,0,0.388,0.529,0.418,0.362,0.448,0.429,0.001
406,0,0.192,0.362,0.459,0.384,0.405,0.36,0.002
407,1,0.748,0.607,0.59,0.52,0.712,0.636,0.396
408,0,0.449,0.45,0.415,0.406,0.622,0.468,0.033
409,1,0.968,0.923,0.929,0.926,0.934,0.936,0.0
410,1,0.968,0.923,0.929,0.926,0.934,0.936,0.0
411,1,0.867,0.854,0.784,0.821,0.81,0.827,0.0
412,1,0.884,0.785,0.802,0.781,0.826,0.816,0.0
413,1,0.748,0.607,0.59,0.52,0.712,0.636,0.396
414,0,0.708,0.588,0.609,0.533,0.728,0.633,0.394
415,1,0.979,0.943,0.942,0.944,0.953,0.952,0.0
416,0,0.593,0.556,0.524,0.478,0.639,0.558,0.157
417,1,0.889,0.783,0.792,0.742,0.833,0.808,0.0
418,1,0.889,0.783,0.792,0.742,0.833,0.808,0.0
419,1,0.492,0.467,0.403,0.316,0.589,0.453,0.039
420,1,0.688,0.735,0.55,0.637,0.757,0.673,0.211
421,1,0.931,0.846,0.811,0.799,0.9,0.858,0.0
422,1,0.359,0.511,0.343,0.346,0.475,0.407,0.002
423,1,0.636,0.592,0.674,0.55,0.578,0.606,0.43
424,0,0.589,0.437,0.392,0.479,0.516,0.483,0.026
425,1,0.931,0.846,0.811,0.799,0.9,0.858,0.0
426,1,0.804,0.704,0.684,0.65,0.843,0.737,0.047
427,1,0.804,0.704,0.684,0.65,0.843,0.737,0.047
428,1,0.804,0.704,0.684,0.65,0.843,0.737,0.047
429,1,0.723,0.553,0.54,0.508,0.795,0.624,0.464
430,0,0.6,0.506,0.439,0.451,0.554,0.51,0.045
431,1,0.866,0.761,0.7,0.667,0.833,0.765,0.023
432,1,0.561,0.565,0.445,0.565,0.481,0.523,0.037
433,1,0.377,0.418,0.399,0.322,0.544,0.412,0.003
434,1,0.415,0.502,0.689,0.477,0.487,0.514,0.141
