,tr_Y,valid1,valid2,valid3,valid4,valid5,tr_score,tr_conf
76,1,0.488,0.377,0.511,0.564,0.418,0.472,0.016
77,1,0.802,0.476,0.635,0.75,0.761,0.685,0.273
78,0,0.225,0.225,0.348,0.282,0.274,0.271,0.0
79,1,0.516,0.435,0.569,0.614,0.571,0.541,0.119
80,1,0.555,0.437,0.6,0.622,0.552,0.553,0.171
81,1,0.804,0.591,0.616,0.75,0.814,0.715,0.14
82,1,0.585,0.447,0.589,0.636,0.691,0.589,0.383
83,1,0.432,0.374,0.519,0.41,0.398,0.426,0.0
84,1,0.788,0.661,0.712,0.73,0.821,0.743,0.011
85,1,0.814,0.759,0.745,0.765,0.821,0.781,0.0
86,1,0.783,0.657,0.709,0.74,0.816,0.741,0.011
87,1,0.75,0.624,0.687,0.728,0.821,0.722,0.049
88,1,0.777,0.686,0.706,0.75,0.831,0.75,0.004
89,1,0.821,0.717,0.736,0.74,0.826,0.768,0.0
90,1,0.768,0.661,0.698,0.746,0.821,0.739,0.012
91,1,0.799,0.683,0.716,0.746,0.826,0.754,0.004
92,1,0.742,0.593,0.682,0.715,0.811,0.709,0.093
93,1,0.778,0.688,0.713,0.751,0.831,0.752,0.003
94,1,0.756,0.626,0.695,0.735,0.817,0.726,0.039
95,1,0.797,0.701,0.726,0.751,0.83,0.761,0.001
96,1,0.817,0.745,0.765,0.786,0.841,0.791,0.0
97,1,0.769,0.666,0.703,0.742,0.816,0.739,0.008
98,1,0.576,0.445,0.542,0.584,0.47,0.523,0.055
99,0,0.0,0.011,0.025,0.01,0.025,0.014,0.0
100,0,0.0,0.012,0.028,0.011,0.021,0.014,0.0
101,0,0.0,0.02,0.02,0.006,0.022,0.014,0.0
102,0,0.0,0.013,0.028,0.011,0.009,0.012,0.0
103,0,0.0,0.0,0.004,0.001,0.001,0.001,0.0
104,0,0.0,0.003,0.014,0.005,0.004,0.005,0.0
105,0,0.0,0.005,0.02,0.008,0.006,0.008,0.0
106,0,0.0,0.01,0.012,0.012,0.01,0.009,0.0
107,0,0.0,0.033,0.017,0.018,0.014,0.016,0.0
108,0,0.0,0.093,0.059,0.027,0.041,0.044,0.0
109,0,0.0,0.051,0.046,0.02,0.03,0.029,0.0
110,0,0.0,0.141,0.048,0.035,0.037,0.052,0.0
111,0,0.0,0.27,0.112,0.067,0.082,0.106,0.0
112,0,0.0,0.411,0.139,0.182,0.087,0.164,0.001
113,0,0.0,0.159,0.069,0.036,0.054,0.064,0.0
114,0,0.0,0.0,0.0,0.006,0.0,0.001,0.0
115,1,0.981,0.976,0.981,0.975,0.987,0.98,0.0
116,1,0.975,0.971,0.979,0.971,0.981,0.975,0.0
117,1,0.947,0.913,0.936,0.923,0.95,0.934,0.0
118,1,0.992,0.989,0.99,0.987,0.994,0.99,0.0
119,1,0.99,0.987,0.989,0.986,0.993,0.989,0.0
120,1,0.996,0.995,0.995,0.994,0.998,0.996,0.0
121,1,0.995,0.994,0.995,0.994,0.997,0.995,0.0
122,1,0.944,0.929,0.949,0.93,0.947,0.94,0.0
123,1,0.996,0.989,0.995,0.993,0.996,0.994,0.0
124,1,0.986,0.951,0.976,0.97,0.981,0.973,0.0
125,1,0.997,0.991,0.994,0.992,0.998,0.994,0.0
126,1,0.999,0.996,0.998,0.997,0.999,0.998,0.0
127,1,0.991,0.97,0.986,0.98,0.987,0.983,0.0
128,1,0.993,0.98,0.991,0.987,0.99,0.988,0.0
129,1,0.992,0.981,0.993,0.988,0.988,0.988,0.0
130,1,0.0,0.243,0.105,0.062,0.062,0.095,0.0
131,0,0.526,0.286,0.293,0.313,0.1,0.304,0.011
132,0,0.484,0.381,0.288,0.523,0.153,0.366,0.033
133,0,0.383,0.254,0.221,0.395,0.153,0.281,0.0
134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0,0.818,0.768,0.761,0.764,0.783,0.779,0.0
137,1,0.767,0.652,0.691,0.729,0.816,0.731,0.02
138,1,0.774,0.661,0.7,0.739,0.82,0.739,0.012
139,1,0.767,0.655,0.698,0.735,0.797,0.73,0.01
140,1,0.655,0.639,0.546,0.672,0.69,0.64,0.296
141,1,0.766,0.694,0.699,0.743,0.807,0.742,0.001
142,0,0.823,0.754,0.732,0.727,0.795,0.766,0.0
143,1,0.842,0.819,0.803,0.798,0.852,0.823,0.0
144,1,0.83,0.76,0.736,0.771,0.832,0.786,0.0
145,1,0.816,0.731,0.731,0.755,0.826,0.772,0.0
146,1,0.808,0.72,0.718,0.744,0.798,0.757,0.0
147,1,0.802,0.774,0.744,0.757,0.81,0.777,0.0
148,1,0.804,0.76,0.758,0.76,0.756,0.768,0.0
149,1,0.39,0.377,0.442,0.397,0.466,0.414,0.0
150,1,0.27,0.162,0.245,0.161,0.19,0.206,0.0
151,1,0.243,0.135,0.197,0.113,0.124,0.162,0.0
152,1,0.506,0.455,0.481,0.507,0.632,0.516,0.055
153,1,0.307,0.32,0.358,0.308,0.317,0.322,0.0
154,1,0.755,0.316,0.617,0.265,0.462,0.483,0.237
155,1,0.519,0.289,0.37,0.321,0.536,0.407,0.022
156,1,0.825,0.742,0.84,0.754,0.806,0.793,0.0
157,1,0.782,0.662,0.714,0.722,0.795,0.735,0.006
158,1,0.634,0.643,0.788,0.915,0.647,0.725,0.156
159,1,0.533,0.558,0.711,0.675,0.633,0.622,0.451
160,1,0.698,0.542,0.65,0.678,0.803,0.674,0.235
161,0,0.46,0.464,0.609,0.601,0.538,0.534,0.107
162,1,0.458,0.497,0.711,0.707,0.452,0.565,0.341
163,1,0.507,0.456,0.649,0.579,0.572,0.553,0.179
164,0,0.559,0.535,0.723,0.728,0.582,0.626,0.442
165,0,0.538,0.053,0.307,0.058,0.032,0.198,0.018
166,0,0.616,0.113,0.392,0.095,0.045,0.252,0.049
167,0,0.821,0.84,0.903,0.884,0.855,0.86,0.0
168,0,0.75,0.659,0.662,0.722,0.749,0.708,0.01
169,0,0.576,0.695,0.726,0.361,0.877,0.647,0.423
170,1,0.568,0.573,0.713,0.732,0.628,0.643,0.334
171,0,0.514,0.484,0.523,0.509,0.468,0.5,0.0
172,1,0.714,0.569,0.699,0.698,0.766,0.689,0.122
173,1,0.675,0.544,0.711,0.699,0.746,0.675,0.187
174,1,0.761,0.647,0.671,0.714,0.801,0.719,0.032
175,1,0.75,0.618,0.654,0.696,0.799,0.703,0.084
176,1,0.769,0.655,0.695,0.736,0.811,0.733,0.014
177,0,0.814,0.679,0.716,0.76,0.839,0.762,0.006
178,0,0.178,0.425,0.217,0.301,0.295,0.283,0.0
179,0,0.767,0.658,0.671,0.723,0.817,0.727,0.028
180,0,0.759,0.644,0.683,0.721,0.782,0.718,0.019
181,1,0.747,0.586,0.643,0.702,0.809,0.697,0.141
182,1,0.784,0.665,0.689,0.745,0.836,0.744,0.018
183,1,0.746,0.6,0.66,0.715,0.822,0.709,0.103
184,1,0.263,0.579,0.269,0.381,0.371,0.373,0.018
185,0,0.768,0.654,0.692,0.735,0.815,0.733,0.017
186,1,0.788,0.665,0.706,0.739,0.819,0.743,0.009
187,1,0.788,0.665,0.706,0.74,0.821,0.744,0.009
188,0,0.357,0.431,0.534,0.452,0.426,0.44,0.001
189,0,0.404,0.395,0.401,0.458,0.6,0.452,0.018
190,0,0.127,0.098,0.116,0.145,0.074,0.112,0.0
191,1,0.48,0.721,0.705,0.562,0.381,0.57,0.369
192,0,0.446,0.697,0.685,0.546,0.371,0.549,0.308
193,1,0.743,0.698,0.704,0.693,0.71,0.71,0.0
194,0,0.699,0.669,0.654,0.672,0.771,0.693,0.029
195,1,0.744,0.699,0.706,0.689,0.66,0.7,0.001
196,0,0.73,0.717,0.633,0.647,0.816,0.709,0.073
197,0,0.764,0.672,0.708,0.742,0.804,0.738,0.003
198,1,0.742,0.705,0.725,0.695,0.678,0.709,0.0
199,1,0.806,0.72,0.734,0.77,0.845,0.775,0.0
200,1,0.804,0.817,0.834,0.831,0.88,0.833,0.0
201,0,0.608,0.546,0.502,0.571,0.5,0.545,0.049
202,0,0.592,0.524,0.493,0.557,0.473,0.528,0.023
203,1,0.769,0.727,0.719,0.76,0.827,0.76,0.0
204,0,0.665,0.715,0.518,0.621,0.678,0.64,0.351
205,0,0.867,0.892,0.836,0.823,0.885,0.861,0.0
206,1,0.727,0.703,0.736,0.73,0.656,0.711,0.001
207,1,0.793,0.75,0.743,0.779,0.855,0.784,0.0
208,0,0.787,0.673,0.675,0.65,0.654,0.688,0.071
209,1,0.759,0.623,0.664,0.573,0.626,0.649,0.285
210,1,0.852,0.838,0.874,0.861,0.895,0.864,0.0
211,1,1.0,0.837,0.937,0.921,0.969,0.933,0.0
212,0,1.0,0.778,0.883,0.69,0.529,0.776,0.158
213,1,1.0,0.777,0.883,0.689,0.549,0.78,0.143
214,1,0.835,0.785,0.687,0.788,0.892,0.798,0.003
215,1,1.0,0.763,0.874,0.688,0.49,0.763,0.193
216,1,1.0,0.789,0.844,0.697,0.73,0.812,0.031
217,1,1.0,0.765,0.877,0.687,0.575,0.781,0.128
218,1,0.782,0.776,0.598,0.356,0.324,0.567,0.407
219,1,1.0,0.988,0.986,0.987,0.999,0.992,0.0
220,1,1.0,0.976,0.991,0.977,0.998,0.989,0.0
221,1,1.0,0.98,0.992,0.979,0.999,0.99,0.0
222,1,1.0,0.967,0.987,0.968,0.998,0.984,0.0
223,1,1.0,0.979,0.992,0.982,0.998,0.99,0.0
224,1,1.0,0.973,0.99,0.974,0.998,0.987,0.0
225,0,0.809,0.898,0.567,0.313,0.438,0.605,0.484
226,1,0.792,0.858,0.557,0.29,0.704,0.64,0.447
227,0,0.566,0.26,0.318,0.256,0.362,0.352,0.011
228,0,0.371,0.282,0.415,0.329,0.314,0.342,0.0
229,0,0.249,0.248,0.353,0.265,0.222,0.267,0.0
230,0,0.412,0.36,0.595,0.52,0.492,0.476,0.047
231,0,0.232,0.186,0.334,0.284,0.244,0.256,0.0
232,0,0.315,0.325,0.422,0.39,0.35,0.36,0.0
233,1,0.75,0.628,0.676,0.722,0.793,0.714,0.041
234,1,0.402,0.693,0.482,0.467,0.826,0.574,0.402
235,1,0.406,0.695,0.492,0.471,0.826,0.578,0.411
236,1,0.761,0.649,0.682,0.737,0.828,0.731,0.03
237,1,0.761,0.65,0.68,0.735,0.832,0.732,0.032
238,1,0.796,0.668,0.707,0.747,0.836,0.751,0.012
239,1,0.795,0.667,0.707,0.748,0.838,0.751,0.012
240,1,0.832,0.747,0.729,0.77,0.843,0.784,0.0
241,0,0.761,0.651,0.681,0.738,0.825,0.731,0.027
242,1,0.755,0.653,0.684,0.739,0.807,0.728,0.017
243,1,0.751,0.62,0.673,0.721,0.791,0.711,0.052
244,1,0.76,0.636,0.654,0.701,0.758,0.702,0.042
245,1,0.513,0.523,0.682,0.63,0.643,0.598,0.411
246,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,0,0.014,0.009,0.064,0.043,0.016,0.029,0.0
248,0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
249,0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
250,0,0.0,0.001,0.001,0.003,0.0,0.001,0.0
251,0,0.001,0.002,0.002,0.01,0.001,0.003,0.0
252,0,0.283,0.026,0.156,0.283,0.097,0.169,0.0
253,0,0.009,0.012,0.023,0.026,0.006,0.015,0.0
254,0,0.001,0.002,0.004,0.005,0.001,0.003,0.0
255,0,0.001,0.002,0.004,0.005,0.001,0.002,0.0
256,0,0.001,0.002,0.003,0.003,0.0,0.002,0.0
257,0,0.016,0.001,0.003,0.002,0.003,0.005,0.0
258,0,0.102,0.022,0.019,0.076,0.019,0.048,0.0
259,0,0.067,0.016,0.019,0.061,0.126,0.058,0.0
260,0,0.02,0.031,0.057,0.056,0.016,0.036,0.0
261,0,0.166,0.05,0.067,0.18,0.082,0.109,0.0
262,0,0.012,0.024,0.037,0.037,0.008,0.024,0.0
263,0,0.115,0.03,0.032,0.106,0.034,0.063,0.0
264,0,0.087,0.011,0.007,0.027,0.006,0.028,0.0
265,0,0.006,0.007,0.015,0.014,0.003,0.009,0.0
266,1,0.126,0.171,0.209,0.183,0.084,0.155,0.0
267,0,0.768,0.625,0.63,0.684,0.589,0.659,0.231
268,0,0.004,0.006,0.011,0.012,0.002,0.007,0.0
269,0,0.048,0.055,0.103,0.075,0.029,0.062,0.0
270,0,0.02,0.024,0.029,0.047,0.019,0.028,0.0
271,0,0.161,0.027,0.03,0.108,0.069,0.079,0.0
272,0,0.72,0.325,0.58,0.45,0.534,0.522,0.243
273,0,0.019,0.023,0.029,0.045,0.018,0.027,0.0
274,0,0.019,0.029,0.038,0.041,0.01,0.027,0.0
275,0,0.025,0.043,0.066,0.065,0.019,0.044,0.0
276,0,0.006,0.015,0.023,0.025,0.004,0.015,0.0
277,0,0.006,0.016,0.025,0.026,0.004,0.015,0.0
278,0,0.038,0.033,0.035,0.057,0.026,0.038,0.0
279,0,0.022,0.031,0.041,0.046,0.012,0.031,0.0
280,0,0.164,0.131,0.141,0.19,0.12,0.149,0.0
281,0,0.15,0.148,0.161,0.186,0.101,0.149,0.0
282,0,0.076,0.058,0.065,0.092,0.043,0.067,0.0
283,0,0.049,0.07,0.107,0.09,0.031,0.069,0.0
284,0,0.035,0.054,0.065,0.064,0.022,0.048,0.0
285,0,0.172,0.213,0.317,0.247,0.124,0.214,0.0
286,0,0.242,0.299,0.459,0.326,0.183,0.302,0.0
287,0,0.357,0.297,0.357,0.364,0.21,0.317,0.0
288,0,0.011,0.034,0.043,0.045,0.009,0.029,0.0
289,0,0.025,0.061,0.084,0.076,0.021,0.054,0.0
290,0,0.757,0.338,0.528,0.455,0.483,0.512,0.23
291,1,0.753,0.604,0.602,0.599,0.582,0.628,0.409
292,1,0.762,0.621,0.617,0.652,0.602,0.651,0.26
293,1,0.757,0.607,0.591,0.588,0.512,0.611,0.486
294,0,0.066,0.341,0.18,0.127,0.037,0.15,0.0
295,0,0.052,0.302,0.152,0.11,0.032,0.13,0.0
296,0,0.077,0.37,0.223,0.151,0.036,0.172,0.0
297,0,0.63,0.46,0.648,0.641,0.56,0.588,0.359
298,0,0.657,0.488,0.629,0.587,0.457,0.563,0.261
299,0,0.685,0.522,0.646,0.609,0.567,0.606,0.447
300,0,0.381,0.384,0.548,0.411,0.376,0.42,0.001
301,0,0.389,0.388,0.553,0.414,0.379,0.425,0.002
302,0,0.595,0.502,0.577,0.638,0.575,0.577,0.203
303,0,0.664,0.465,0.661,0.632,0.609,0.606,0.46
304,1,0.737,0.562,0.703,0.635,0.681,0.664,0.204
305,1,0.655,0.48,0.62,0.517,0.561,0.567,0.233
306,1,0.757,0.628,0.713,0.705,0.741,0.709,0.016
307,0,0.07,0.047,0.171,0.142,0.081,0.102,0.0
308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,0,0.0,0.001,0.001,0.001,0.001,0.001,0.0
310,1,0.503,0.167,0.33,0.315,0.385,0.34,0.006
311,1,0.605,0.196,0.332,0.333,0.426,0.379,0.041
312,0,0.744,0.459,0.584,0.511,0.555,0.57,0.327
313,1,0.736,0.584,0.596,0.581,0.531,0.605,0.453
314,0,0.744,0.606,0.595,0.586,0.55,0.616,0.485
315,0,0.739,0.651,0.477,0.655,0.645,0.634,0.408
316,0,0.103,0.091,0.203,0.155,0.111,0.133,0.0
317,0,0.12,0.072,0.179,0.145,0.137,0.13,0.0
318,0,0.005,0.016,0.035,0.043,0.006,0.021,0.0
319,0,0.003,0.004,0.009,0.011,0.002,0.006,0.0
320,0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
321,1,0.755,0.557,0.613,0.619,0.644,0.638,0.355
322,0,0.858,0.652,0.681,0.703,0.839,0.747,0.059
323,1,0.864,0.654,0.68,0.707,0.841,0.749,0.058
324,1,0.853,0.662,0.704,0.751,0.853,0.764,0.026
325,1,0.69,0.6,0.613,0.631,0.621,0.631,0.29
326,1,0.728,0.67,0.469,0.606,0.741,0.643,0.385
327,1,0.703,0.65,0.521,0.655,0.777,0.661,0.286
328,0,0.811,0.63,0.653,0.572,0.622,0.657,0.294
329,0,0.59,0.694,0.542,0.537,0.32,0.536,0.264
330,1,0.623,0.679,0.595,0.545,0.36,0.56,0.313
331,0,0.558,0.693,0.446,0.563,0.512,0.554,0.232
332,0,0.567,0.709,0.595,0.533,0.284,0.538,0.293
333,0,0.741,0.487,0.574,0.495,0.541,0.568,0.309
334,1,0.756,0.652,0.709,0.731,0.766,0.723,0.004
335,1,0.795,0.625,0.643,0.555,0.549,0.634,0.411
336,1,0.737,0.592,0.674,0.689,0.612,0.661,0.184
337,1,0.78,0.663,0.708,0.731,0.81,0.738,0.008
338,0,0.607,0.613,0.738,0.724,0.781,0.693,0.129
339,0,0.48,0.443,0.725,0.693,0.357,0.539,0.304
340,1,0.749,0.626,0.655,0.707,0.732,0.694,0.043
341,1,0.779,0.629,0.655,0.623,0.671,0.671,0.153
342,1,0.78,0.661,0.667,0.71,0.772,0.718,0.019
343,1,0.75,0.623,0.389,0.603,0.834,0.64,0.431
344,1,0.757,0.593,0.656,0.577,0.698,0.656,0.26
345,1,1.0,1.0,1.0,0.0,1.0,0.8,0.321
346,1,0.777,0.723,0.751,0.782,0.854,0.777,0.0
347,1,0.538,0.544,0.256,0.36,0.371,0.414,0.036
348,0,0.206,0.27,0.138,0.19,0.22,0.205,0.0
349,0,0.081,0.211,0.132,0.184,0.178,0.157,0.0
350,1,0.835,0.805,0.786,0.866,0.888,0.836,0.0
351,0,0.209,0.167,0.21,0.195,0.212,0.198,0.0
352,0,0.523,0.659,0.246,0.196,0.257,0.376,0.096
353,0,0.236,0.481,0.212,0.338,0.313,0.316,0.001
354,0,0.145,0.235,0.133,0.198,0.184,0.179,0.0
355,0,0.125,0.258,0.135,0.219,0.197,0.187,0.0
356,0,0.066,0.186,0.132,0.2,0.146,0.146,0.0
357,0,0.358,0.586,0.282,0.402,0.378,0.401,0.018
358,0,0.195,0.303,0.176,0.239,0.219,0.226,0.0
359,0,0.175,0.334,0.159,0.229,0.236,0.226,0.0
360,1,0.759,0.663,0.671,0.733,0.789,0.723,0.013
361,1,0.757,0.635,0.574,0.472,0.808,0.649,0.385
362,1,0.786,0.626,0.682,0.626,0.805,0.705,0.117
363,1,0.876,0.792,0.816,0.887,0.893,0.853,0.0
364,1,0.908,0.816,0.945,0.939,0.919,0.905,0.0
365,1,0.786,0.613,0.676,0.694,0.859,0.726,0.099
366,0,0.8,0.659,0.717,0.613,0.653,0.689,0.124
367,0,0.791,0.626,0.802,0.381,0.758,0.672,0.357
368,0,0.747,0.324,0.526,0.291,0.334,0.444,0.163
369,0,0.746,0.401,0.605,0.252,0.743,0.549,0.371
370,0,0.761,0.654,0.674,0.722,0.816,0.725,0.028
371,0,0.511,0.45,0.485,0.427,0.763,0.527,0.239
372,0,0.57,0.598,0.621,0.571,0.581,0.588,0.095
373,1,0.771,0.661,0.688,0.732,0.811,0.732,0.014
374,1,0.72,0.534,0.532,0.454,0.749,0.598,0.446
375,1,0.864,0.804,0.852,0.913,0.893,0.865,0.0
376,1,0.867,0.811,0.843,0.885,0.896,0.86,0.0
377,1,0.886,0.827,0.947,0.934,0.915,0.902,0.0
378,0,0.798,0.686,0.692,0.797,0.601,0.715,0.088
379,1,0.964,0.976,0.99,0.986,0.984,0.98,0.0
380,1,0.881,0.857,0.868,0.925,0.926,0.891,0.0
381,1,0.829,0.711,0.804,0.847,0.831,0.804,0.0
382,1,0.829,0.713,0.806,0.848,0.831,0.806,0.0
383,1,0.829,0.919,0.878,0.869,0.979,0.895,0.0
384,1,0.845,0.707,0.731,0.808,0.903,0.799,0.005
385,1,0.727,0.6,0.602,0.561,0.441,0.586,0.382
386,1,0.546,0.658,0.678,0.969,0.482,0.667,0.376
387,0,0.858,0.815,0.772,0.788,0.873,0.821,0.0
388,1,0.868,0.722,0.722,0.772,0.907,0.798,0.008
389,1,0.796,0.621,0.717,0.59,0.514,0.647,0.366
390,1,0.904,0.786,0.816,0.874,0.957,0.867,0.0
391,1,0.913,0.785,0.814,0.892,0.966,0.874,0.0
392,1,0.911,0.781,0.811,0.889,0.964,0.871,0.0
393,1,0.91,0.779,0.81,0.889,0.964,0.87,0.0
394,0,0.771,0.669,0.714,0.99,0.533,0.735,0.208
395,1,0.803,0.714,0.794,0.994,0.682,0.798,0.045
396,0,0.753,0.364,0.63,0.371,0.348,0.493,0.235
397,0,0.919,0.814,0.852,0.899,0.969,0.891,0.0
398,0,0.649,0.642,0.669,0.686,0.728,0.675,0.024
399,0,0.507,0.615,0.599,0.593,0.709,0.605,0.444
400,1,0.867,0.812,0.844,0.886,0.897,0.861,0.0
401,0,0.473,0.648,0.733,0.743,0.727,0.665,0.307
402,0,0.629,0.597,0.713,0.717,0.715,0.674,0.118
403,1,0.641,0.679,0.0,0.668,0.772,0.552,0.413
404,1,0.616,0.415,0.52,0.521,0.507,0.516,0.062
405,0,0.4,0.388,0.463,0.408,0.292,0.39,0.0
406,0,0.753,0.643,0.681,0.737,0.83,0.729,0.036
407,1,0.762,0.636,0.686,0.7,0.782,0.713,0.03
408,0,0.433,0.31,0.354,0.318,0.354,0.354,0.0
409,1,0.779,0.672,0.719,0.746,0.809,0.745,0.003
410,1,0.831,0.788,0.921,0.864,0.869,0.855,0.0
411,1,0.775,0.675,0.667,0.665,0.615,0.679,0.105
412,1,0.743,0.637,0.676,0.679,0.704,0.688,0.017
413,1,0.722,0.449,0.591,0.606,0.646,0.603,0.451
414,0,0.343,0.419,0.53,0.391,0.382,0.413,0.001
415,1,0.834,0.721,0.777,0.797,0.858,0.797,0.0
416,0,0.747,0.597,0.676,0.724,0.819,0.712,0.091
417,1,0.716,0.489,0.645,0.637,0.688,0.635,0.393
418,1,0.736,0.509,0.653,0.655,0.729,0.656,0.301
419,1,0.663,0.47,0.594,0.535,0.563,0.565,0.222
420,1,0.883,0.813,0.77,0.834,0.89,0.838,0.0
421,1,0.838,0.745,0.784,0.819,0.849,0.807,0.0
422,1,0.775,0.494,0.66,0.527,0.459,0.583,0.398
423,1,0.602,0.446,0.586,0.603,0.673,0.582,0.336
424,0,0.4,0.318,0.999,0.451,0.738,0.581,0.449
425,1,0.851,0.82,0.842,0.886,0.945,0.869,0.0
426,1,0.75,0.625,0.66,0.664,0.739,0.688,0.063
427,1,0.748,0.622,0.657,0.675,0.745,0.69,0.064
428,1,0.753,0.634,0.665,0.688,0.769,0.702,0.044
429,1,0.751,0.658,0.318,0.584,0.823,0.627,0.47
430,0,0.194,0.232,0.35,0.272,0.233,0.256,0.0
431,1,0.883,0.846,0.833,0.867,0.955,0.877,0.0
432,1,0.71,0.661,0.589,0.661,0.76,0.676,0.135
433,1,0.801,0.584,0.636,0.714,0.85,0.717,0.148
434,1,0.739,0.541,0.657,0.681,0.78,0.679,0.21
