,te_Y,valid1,valid2,valid3,valid4,valid5,te_score,te_conf
33,1,0.806,0.693,0.728,0.741,0.812,0.756,0.001
34,1,0.805,0.715,0.722,0.747,0.807,0.759,0.0
35,0,0.747,0.63,0.671,0.714,0.738,0.7,0.024
36,0,0.763,0.653,0.67,0.718,0.808,0.722,0.029
37,1,0.783,0.664,0.691,0.732,0.814,0.737,0.013
38,1,0.804,0.669,0.705,0.744,0.824,0.749,0.01
39,1,0.777,0.677,0.713,0.745,0.825,0.747,0.005
40,1,0.436,0.463,0.355,0.459,0.481,0.439,0.0
41,1,0.733,0.685,0.69,0.742,0.788,0.728,0.001
42,1,1.0,0.957,0.987,0.971,0.992,0.982,0.0
43,1,1.0,0.824,0.897,0.863,0.834,0.884,0.0
44,1,1.0,0.738,0.86,0.684,0.517,0.76,0.185
45,1,0.787,0.829,0.532,0.213,0.505,0.573,0.428
46,0,0.838,0.768,0.769,0.759,0.836,0.794,0.0
47,0,0.167,0.162,0.307,0.26,0.206,0.22,0.0
48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,0.001,0.001,0.003,0.003,0.0,0.001,0.0
50,0,0.009,0.012,0.023,0.026,0.006,0.015,0.0
51,0,0.001,0.002,0.004,0.004,0.0,0.002,0.0
52,0,0.007,0.021,0.028,0.031,0.006,0.019,0.0
53,0,0.106,0.13,0.174,0.155,0.081,0.129,0.0
54,0,0.047,0.053,0.076,0.077,0.024,0.055,0.0
55,1,0.33,0.114,0.094,0.267,0.15,0.191,0.0
56,0,0.045,0.271,0.133,0.098,0.032,0.116,0.0
57,0,0.596,0.461,0.618,0.512,0.491,0.536,0.1
58,0,0.682,0.486,0.665,0.642,0.621,0.619,0.468
59,1,0.699,0.542,0.676,0.695,0.735,0.67,0.2
60,0,0.037,0.048,0.083,0.078,0.027,0.055,0.0
61,1,0.015,0.016,0.021,0.036,0.015,0.021,0.0
62,0,0.755,0.65,0.645,0.695,0.746,0.698,0.033
63,1,0.759,0.662,0.672,0.731,0.79,0.723,0.013
64,1,0.591,0.559,0.27,0.361,0.377,0.432,0.069
65,0,1.0,1.0,1.0,0.0,1.0,0.8,0.321
66,0,0.756,0.66,0.667,0.731,0.775,0.718,0.012
67,0,0.264,0.271,0.164,0.199,0.233,0.226,0.0
68,1,0.842,0.806,0.799,0.893,0.876,0.843,0.0
69,0,0.644,0.451,0.383,0.517,0.348,0.469,0.084
70,0,0.71,0.694,0.297,0.304,0.289,0.459,0.218
71,1,0.809,0.691,0.731,0.736,0.707,0.735,0.001
72,1,0.774,0.466,0.389,0.749,0.366,0.549,0.357
73,0,0.745,0.644,0.656,0.651,0.656,0.671,0.064
74,0,0.789,0.639,0.696,0.622,0.811,0.711,0.101
75,1,0.898,0.869,0.888,0.932,0.937,0.905,0.0
76,1,0.922,0.875,0.916,0.933,0.942,0.918,0.0
77,0,0.784,0.697,0.697,0.73,0.857,0.753,0.011
78,1,0.874,0.75,0.777,0.851,0.941,0.839,0.001
79,0,0.81,0.669,0.658,0.715,0.889,0.748,0.064
80,0,0.818,0.677,0.731,0.816,0.887,0.786,0.01
81,0,0.886,0.885,0.812,0.857,0.944,0.877,0.0
82,1,0.686,0.663,0.586,0.665,0.775,0.675,0.155
83,1,0.703,0.491,0.586,0.631,0.697,0.622,0.459
84,1,0.721,0.499,0.648,0.645,0.674,0.637,0.374
85,1,0.745,0.588,0.643,0.668,0.749,0.679,0.145
86,0,0.811,0.724,0.716,0.625,0.621,0.699,0.113
87,1,0.67,0.549,0.681,0.685,0.792,0.675,0.211
88,1,0.507,0.071,0.566,0.35,0.337,0.366,0.075
89,0,0.309,0.041,0.185,0.132,0.123,0.158,0.0
90,1,0.013,0.005,0.015,0.014,0.009,0.011,0.0
91,1,0.003,0.001,0.021,0.004,0.005,0.007,0.0
92,1,0.754,0.486,0.551,0.455,0.353,0.52,0.241
93,1,0.745,0.567,0.591,0.644,0.576,0.625,0.433
94,0,0.94,0.81,0.862,0.936,0.984,0.906,0.0
95,1,0.752,0.763,0.568,0.692,0.856,0.726,0.118
96,1,0.841,0.739,0.769,0.798,0.856,0.801,0.0
97,1,0.939,0.899,0.985,0.965,0.956,0.949,0.0
98,1,0.98,0.974,0.985,0.98,0.987,0.981,0.0
99,1,0.958,0.936,0.96,0.957,0.968,0.956,0.0
100,1,0.926,0.897,0.934,0.917,0.939,0.923,0.0
101,1,0.997,0.993,0.999,0.998,0.998,0.997,0.0
102,1,0.98,0.973,0.984,0.979,0.987,0.981,0.0
103,1,0.84,0.785,0.849,0.834,0.865,0.835,0.0
104,1,0.951,0.946,0.946,0.935,0.965,0.949,0.0
105,1,0.999,0.996,1.0,1.0,0.999,0.999,0.0
106,1,0.993,0.986,0.998,0.996,0.993,0.993,0.0
107,1,0.949,0.922,0.988,0.969,0.964,0.958,0.0
108,1,0.999,0.997,1.0,1.0,0.999,0.999,0.0
109,1,0.978,0.972,0.984,0.978,0.986,0.98,0.0
110,1,0.935,0.899,0.987,0.962,0.952,0.947,0.0
111,1,0.994,0.989,0.997,0.997,0.997,0.995,0.0
112,1,0.994,0.981,0.997,0.998,0.999,0.994,0.0
113,1,0.999,0.999,1.0,1.0,1.0,1.0,0.0
114,1,0.954,0.881,0.986,0.975,0.981,0.956,0.0
115,1,0.978,0.976,0.997,0.99,0.985,0.985,0.0
116,1,0.883,0.781,0.843,0.882,0.942,0.866,0.0
117,1,0.901,0.805,0.919,0.891,0.905,0.884,0.0
118,1,0.866,0.75,0.84,0.871,0.914,0.848,0.0
119,1,0.967,0.965,0.974,0.971,0.982,0.972,0.0
120,1,0.997,0.989,0.999,0.998,0.998,0.996,0.0
121,1,0.953,0.862,0.953,0.964,0.958,0.938,0.0
122,1,0.962,0.965,0.953,0.954,0.972,0.961,0.0
123,1,0.814,0.719,0.752,0.781,0.849,0.783,0.0
124,1,0.993,0.992,0.995,0.993,0.998,0.994,0.0
125,1,0.9,0.868,0.919,0.905,0.916,0.902,0.0
126,1,0.994,0.99,0.994,0.99,0.997,0.993,0.0
127,1,0.829,0.783,0.84,0.834,0.868,0.831,0.0
128,1,0.937,0.9,0.979,0.962,0.959,0.947,0.0
129,1,0.985,0.989,1.0,0.998,0.999,0.994,0.0
130,1,1.0,0.995,0.111,0.958,1.0,0.813,0.286
131,1,0.9,0.922,0.941,0.908,0.926,0.919,0.0
132,0,0.003,0.01,0.007,0.012,0.009,0.008,0.0
133,0,0.016,0.017,0.015,0.024,0.034,0.021,0.0
134,0,0.109,0.111,0.068,0.081,0.049,0.084,0.0
135,0,0.035,0.032,0.04,0.061,0.027,0.039,0.0
136,0,0.773,0.446,0.635,0.694,0.558,0.621,0.473
137,0,0.708,0.348,0.475,0.583,0.436,0.51,0.203
138,0,0.046,0.092,0.048,0.099,0.049,0.067,0.0
139,0,0.664,0.588,0.609,0.714,0.748,0.665,0.199
140,0,0.713,0.648,0.655,0.689,0.665,0.674,0.006
141,0,0.6,0.573,0.566,0.595,0.56,0.579,0.014
142,1,0.648,0.621,0.642,0.526,0.501,0.587,0.335
143,0,0.467,0.408,0.462,0.332,0.322,0.398,0.0
144,0,0.672,0.409,0.477,0.552,0.538,0.53,0.169
145,0,0.714,0.068,0.354,0.073,0.292,0.3,0.092
146,1,0.761,0.646,0.664,0.714,0.749,0.707,0.02
147,1,0.688,0.566,0.61,0.656,0.635,0.631,0.337
148,0,0.764,0.655,0.685,0.742,0.825,0.734,0.022
149,1,0.736,0.552,0.601,0.662,0.741,0.658,0.273
150,1,0.863,0.831,0.786,0.794,0.878,0.83,0.0
151,1,0.469,0.652,0.73,0.736,0.585,0.634,0.418
152,0,0.757,0.643,0.681,0.718,0.798,0.72,0.026
153,0,0.265,0.322,0.357,0.267,0.213,0.285,0.0
154,1,0.386,0.43,0.529,0.501,0.394,0.448,0.002
155,0,0.776,0.66,0.706,0.715,0.753,0.722,0.003
156,1,0.776,0.799,1.0,0.903,0.953,0.886,0.001
157,1,0.765,0.653,0.689,0.723,0.792,0.724,0.013
158,1,0.659,0.468,0.596,0.646,0.6,0.594,0.385
159,1,0.794,0.74,0.78,0.775,0.829,0.784,0.0
160,1,0.747,0.661,0.65,0.706,0.78,0.709,0.028
161,1,0.657,0.551,0.636,0.671,0.694,0.642,0.281
162,1,0.988,0.987,0.984,0.982,0.991,0.986,0.0
163,1,0.972,0.951,0.969,0.986,0.984,0.972,0.0
164,1,0.993,0.987,0.997,0.996,0.996,0.994,0.0
165,1,0.515,0.552,0.595,0.67,0.754,0.617,0.484
166,1,0.767,0.706,0.804,0.785,0.824,0.777,0.0
167,1,0.987,0.987,0.988,0.987,0.996,0.989,0.0
168,1,0.527,0.445,0.543,0.392,0.347,0.451,0.016
169,1,0.764,0.697,0.561,0.709,0.721,0.69,0.132
170,0,0.964,0.962,0.98,0.976,0.978,0.972,0.0
171,0,0.792,0.777,0.721,0.792,0.845,0.786,0.0
172,0,0.787,0.794,0.835,0.835,0.872,0.824,0.0
173,0,0.869,0.906,0.888,0.832,0.898,0.878,0.0
174,1,0.801,0.794,0.8,0.836,0.879,0.822,0.0
175,1,0.988,0.971,0.991,0.995,0.986,0.986,0.0
176,1,0.848,0.851,0.832,0.857,0.899,0.858,0.0
177,1,0.972,0.979,0.979,0.982,0.988,0.98,0.0
178,1,0.815,0.784,0.759,0.767,0.807,0.786,0.0
179,1,0.964,0.976,0.98,0.961,0.998,0.976,0.0
180,1,0.189,0.06,0.134,0.115,0.067,0.113,0.0
181,1,0.951,0.975,0.962,0.936,0.965,0.958,0.0
182,1,0.996,0.996,0.997,0.996,0.998,0.997,0.0
183,0,0.798,0.815,0.858,0.828,0.879,0.836,0.0
184,1,0.951,0.94,0.956,0.951,0.968,0.953,0.0
185,1,0.913,0.833,0.976,0.945,0.928,0.919,0.0
186,1,0.745,0.713,0.622,0.594,0.852,0.705,0.161
187,1,0.816,0.74,0.703,0.753,0.904,0.783,0.008
188,0,0.331,0.379,0.429,0.237,0.526,0.38,0.008
189,1,0.901,0.888,0.941,0.915,0.529,0.835,0.076
190,1,0.965,0.941,0.993,0.982,0.977,0.972,0.0
191,1,0.435,0.143,0.698,0.125,0.08,0.296,0.09
