Check SMILES for genmols_S1_init.csv:

RNN_0000260, CCOCC(=O)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002168, COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(NC(=O)c1ccc(Nc3nc4ccc(-c5ccc(C(=O)NCc6ccc(F)cc6)cc5)cn4n3)c(Cl)c1)C2=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002213, COC1CCCN(C(C)=O)C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002215, CCCCC(=O)OC(C)(C)CC(C)(C)C(C)(C)C(C)(O)C(C)(O)C(Cc1ccccc1)NC(=O)c1ccc(Nc2ccc3cc(-c4ccc(C(=O)NCc5ccccc5)cc4)cn3n2)c(OC)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002527, CC(C)C(NS(=O)(=O)c1ccc(Nc2nc3ccc(-c4ccc(C(=O)NCc5ccc(F)cc5)cc4)cn3n2)c(OCC(F)(F)F)c1)C(O)(C(=O)OC(C)(C)C)C(F)(F)F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002573, CC(C)CNC(CO)C(F)(F)F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002625, COc1c(C)cccc1C=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002626, Cc1cc(C(=O)N(C)C)ccc1Nc1nc2ccc(N3CCN(C(=O)NCc4ccc(C(=O)NCc5ccc(F)cc5)cc4)CC3)cc2n2c1nc1ccc(N3CCOCC3)cc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002685, O=C(NC(C(=O)N1CCCC1)c1ccc(Nc2nc3ccc(-c4ccc(NC(=O)Cc5ccc(F)cc5)cc4)cn3n2)c(OCCCO)c1Cl)C(F)(F)C(F)(F)F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002691, CNCC(O)C(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002697, CCOC(C)(OC)OC, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002734, O=C(NC1CC1)C1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002905, CC(C)C(NC(=O)c1ccc(Nc2nc3ccc(-c4ccc(NC(=O)C(NS(C)(=O)C(F)(F)F)C(C)(C)C)cc4)cn3n2)c(OCC(F)(F)F)c1)C(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003066, CNC1CCN(CCO)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003116, CSc1ncnc2c1C(N)=NO2, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003161, COc1cc(S(C)(=O)=O)c[nH]1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003171, O=C(NCCO)C(F)(F)F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003252, N#Cc1ccc(F)cc1Cl, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003271, Cn1cc(C#N)c2ccccc21, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003359, COCC1CCC(C(N)=O)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003365, Cc1c(C(N)=O)cn2c1CN(C)CC2, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003711, O=C(NC1CC1)c1ccc(F)cc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003745, CCc1cccc(CCOC)c1O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003746, CCCc1cc(C(=O)N(C)C)cn1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003767, C=CC1(N)CC1c1ccc(Cl)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003889, COCC(CO)N(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003978, CNC(C)c1ccc(C(N)=O)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0003984, Sc1nnc(-c2ccccc2)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004047, CC(N)C(O)CNC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004120, COc1cc(C(=O)N2CCC2)ccc1Nc1nc2nc(-c3ccc(NC(=O)C(C)c4ccc(F)cc4F)cc3)cn2c(-c2ccc(C)cc2)c1CC(C)(C)c1ccccc1Cl, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004123, CN(C)CCN(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004146, O=C(NCCO)c1ccc(F)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004183, C#CC(CO)C(C)(C)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004217, CS(=O)(=O)C1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004458, COCCNc1ncccc1C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004579, CCOc1cc(C(=O)NC(C)(C)CO)ccc1Nc1nc2ccc(-c3ccc(C(=O)NCC4CC4)cc3)cn2c1-c1cc3cc(-c4cnn(C)n4)ccc3c(OC)c1OC, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004630, CC(=O)NC1CCOC1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004644, Cc1cc(-c2ccc3nc(Nc4ccc(S(C)(=O)=O)cc4OCC(F)(F)F)nn3c2)ccc1Cc1ccc(-c2ccc(N3CCOCC3)cc2OCC(F)(F)F)nn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004780, NC(C(=O)Nc1ccc(-c2ccc3nc(Nc4ccc(C(=O)N5CC(F)C5)cc4OCC(F)(F)F)nn3c2)cc1)C(C(=O)NO)C(CC(F)(F)F)COC1CCCC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004845, C=CCN1CCN(CCOC)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004870, CC(c1ccco1)N(C)CCF, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0004937, c1ccc2cc(-c3cnc[nH]3)ccc2c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005081, N#CSCCC(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005260, NCCN=C(S)c1ccccc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005364, COc1cc(-c2cnn(C)c2)ccc1Nc1ncc(C#CCN2CCN(C)CC2)cc1Nc1nc(OC2CCOCC2)ccc1Nc1cc2cc(-c3cnn(CC(C)(C)O)c3)ccc2cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005369, COc1ccc(C(=O)NC2CC2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005389, CCc1ccc(CCO)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005415, CCc1cccc(CC)c1N, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005449, CNCCCCN(C)C(C)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005481, CCc1cccc(-c2cnnn2C)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005494, OCC(O)CC(O)C(O)C(O)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005767, COCCNc1nccc2[nH]ccc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005777, CC1(C)CC(=O)C=C(NCCO)C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005933, CCNC1(C)CCC(OC)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0005966, COC(=O)C=CCN(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006079, Cc1c(C(=O)NCCO)cnn1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006224, COC1C(O)C(O)C(O)C1CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006274, CC(c1ccn2ncnc2c1)N(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006321, CC(C)CNc1ncccc1C#N, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006402, O=CN(O)CCc1ccc(F)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006433, N#Cc1cccc(CNC(N)=O)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006527, CN1CCC(N(C)C)C(=O)CC1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006625, CCSC(=O)N(C)CC(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006652, CC(N)C(=O)NC(CN)C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006681, CC(C)CNc1nc(CCNc2nc(NCCO)nc3c(CC(F)(F)F)cc(C4=CCN(C)CC4)cc23)ccc1Cc1cc2cc(-c3cnn(CC(C)(C)O)c3)ccc2cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006845, COc1cc(N2CCC(CC(=O)N3CCC(N4CCOCC4)CC3)CC2)ccc1Nc1nc(NCc2ccc(C)cc2)ccc1Nc1nc(NC2CCCCC2)c2nc[nH]c2n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0006926, CCc1cccc(CC)c1N=C(N)N, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007179, COc1cc(CCc2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)ccc1Nc1cc2cc(-c3cnn(CC(C)(C)O)c3)ccc2cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007195, CCC(C)CNc1nc(C)cn1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007302, CC(=O)NC1CNC1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007309, CNC(C)C(=O)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007337, CCCNc1ncccc1C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007564, COC1CC2CC1Nc1ccccc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007674, CN1C(O)CC2CC(O)CC1CC2, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007719, CCSc1ccc(CN)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007739, CC(CCO)c1ccc(Cl)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007750, CCNC(C)C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007955, C=CC(C)(O)CCC(CO)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0007963, CCn1ccc(CN(C)C)n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0008212, CC(C)C(NC(=O)c1ccc(Nc2nc3ccc(-c4ccc(NC(=O)Cc5ccc(F)cc5)cc4)cn3n2)c(OCC(F)(F)F)c1)C(O)C(O)C(c1ccccc1)c1ccccc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0008213, Nc1ncnc2c1C(=O)NCC2, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0008323, N#Cc1ccc([S+](C)[O-])cc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0008444, CCc1ccc(S(N)(=O)=O)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0008582, C=CC(O)C(=O)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0008762, O=C(NCC(O)C(Cc1ccccc1)N1CC(c2cccc(Cl)c2)(c2cccc3ccccc23)C1=O)c1ccc(-c2ccc3nc(Nc4ccc(C(F)(F)F)cc4F)nn3c2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0008902, CCCCC(N)C(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0008982, C=CCc1ccc(O)c(CC)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0008989, CCN(CC)C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0009021, COC(=O)NC1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0009094, CCOc1ccc(C(C)=O)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0009216, CC(C)Cn1c(CCCO)cnc1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0009487, CSC(=O)C(C)(C)C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0009555, CCC(N)c1ccc(C(C)(C)C)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0009625, Cc1cccc(-c2cn(C)cn2)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0009870, O=C(NCCCOc1cc(F)ccc1Nc1nc(NC2CCCCC2)c2nc[nH]c2n1)c1ccc(-c2ccc3nc(Nc4ccc(F)cc4OCC(F)(F)F)nn3c2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0010349, O=CN1CCOC(c2cnccn2)C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0010513, CNc1ncc(C)c(-c2c[nH]n2C)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0010551, CC1(C(F)(F)F)CN(CC(F)(F)F)CCN1C(=O)c1ccc(Nc2nc3ccc(-c4ccc(NC(=O)Cc5ccc(F)cc5)cn4)cn3n2)c(OCC(F)(F)F)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0010684, COn1ccc(C(=O)N2CCC2)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0010731, CC(C)CN1CCNC1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0011195, O=C(CCCCCC(=O)Nc1ccc(-c2ccc3nc(Nc4ccc(C(=O)N5CC(F)C5)cc4OCC(F)(F)F)nn3c2)cc1)N1CCN(C(=O)c2ccccc2)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0011249, Cc1ncc(-c2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)c(Nc2nc3ccc(-c4ccc(C(=O)NCC(F)(F)F)cc4)cn3n2)n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0011295, CC(C)CNc1nc(C#N)n[nH]1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0011350, Cc1ccc(C(=O)NCCO)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0011492, CCc1ccc2ccc(OC)cc2c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0011539, CN(CCN(C)C(=O)c1ccc2c(c1)c1ccccc1n2C)C(=O)c1ccc(Nc2cc3cc(-c4ccc(C(=O)NCc5ccc(F)cc5)cc4)cnc3c(NCCC(F)(F)F)n2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0011568, CC(=O)N(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0011881, CCC(CC)S(N)(=O)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0011899, CCOCC1CNC(C)C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0011968, c1ccc(-c2ncon2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012049, Clc1nccn2ccnc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012165, CC(C)CC(NCC(Cc1ccccc1)NC(=O)c1ccc(Nc2nc3ccc(-c4ccc(C(=O)NCc5cccc(F)c5)cc4)cn3n2)c(OCC(F)(F)F)c1)C(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012214, COc1cc(-c2cnc(C)n2CC2CCC3(CC2)OCCO3)ccc1Nc1cc2nc(-c3cnn(C)c3)cn2c(-c2ccc(C(=O)NC(C)Cc3ccc(F)cc3)cc2)c1O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012513, CNC(C)C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012531, Cc1cc(C(=O)NCCO)nn1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012538, COC1C(O)C(O)C(O)C1O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012726, CCc1cccc(CCC(=O)NO)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012728, NC(=O)C(Cc1ccccc1)N(CC(O)C(Cc1ccccc1)NC(=O)c1ccc2cc(C(=O)N3CCCC3)ccc2c1)NC(=O)c1ccc2[nH]nc(-c3ccc(N4CCOCC4)cc3)c2c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012781, O=C1CCCN1CCn1cccn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012797, CCOC(=O)N1CC(O)C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012834, c1cc2c(-c3ccoc3)cncc2cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012842, NCC1CCOC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012953, NCC1=CCCCC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012972, O=C(O)C(Cc1cccc(-c2ccccn2)c1)NS(=O)(=O)c1ccc(Nc2nc3ccc(-c4ccc(C(=O)NCc5ccc(F)cc5)cc4)cn3n2)c(OCC(F)(F)F)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0012990, CC(C)CNc1nccc2ncnn12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013055, C#CC(N)(CC)CC, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013129, CCC(O)c1ccccc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013139, CC(C)(N)C(O)CF, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013204, CCCN1CCN(C)C(=O)C1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013207, CSc1cccc(-c2c[nH]nn2)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013229, Cc1cccc(CC2CC(O)CN2)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013587, c1nc(N2CCCC2)c2ccccc2n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013692, CN1CCN(C2=NCCCC2)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013700, COc1cc(C2Oc3cc(-c4cc(C(C)=O)sc4-c4ccc(C(=O)NCC5CC5)cc4)ncc3c(OC)c2O)ccc1-c1cc2cc(-c3cnn(CC(C)(C)O)c3)ccc2cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013820, COc1cc(C(=O)N2CCN(C)CC2)ccc1Nc1cc2cc(-c3ccc(C(=O)NCc4ccc(F)cc4)cc3)cn2c(C)c1Cc1ccc(C(=O)NCc2cc(F)ccc2OC)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013890, CCC(C)C(N)C(=O)NC1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013898, CCCCc1cccc(CC)c1N, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013928, Nc1cccc2ccccc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013984, CC(C)(O)Cn1ccccc1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0013997, CCc1ccc(CN)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014063, CC(C)(CNC(=O)c1ccc(Nc2nc3ccc(-c4ccc(NC(=O)Cc5ccc(F)cc5)cc4)cn3n2)c(OCC(F)(F)F)c1)C(O)(C(F)(F)F)C(F)(F)F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014188, COc1cc(-c2cnn(C)c2)ccc1Cc1cc2cc(-c3ccc(C(=O)NCc4ccc(F)cc4)cc3)cn2c(-c2ccc(C(=O)NCc3ccc(F)cc3)cc2)c1Oc1ccccc1O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014228, Cn1cc(CNc2cnccn2)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014309, CCNCCS(C)(=O)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014483, CC(N)(CO)C(=O)Nc1ccncc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014548, NCCC(N)COc1ccccc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014633, COc1cc(N2CCC(CC(=O)N3CCN(C)CC3)CC2)ccc1Nc1nc(NC2CCCCC2)ccc1Nc1cc2cc(-c3cnn(CC(C)(C)O)c3)ccc2cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014655, C[N+](C)(C)Cc1cccc(C#N)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014749, COc1cn(CC(C)(C)O)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014756, CCC(CC)(c1ccc(OCC(O)CCCC(F)(F)F)cc1)c1ccc(-c2ccc3nc(Nc4ccc(C(=O)NCC(C)(C)C(F)(F)F)cc4OCC(F)(F)F)nn3c2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014806, CC(C)CNc1nccc2cn[nH]c12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014825, CC(C)C1=NNc2ccccc21, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014842, CNCc1cc(OC)ccc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0014912, CN1CCN(CC(O)CO)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015003, CC(C)CN=c1ccn(C)cc1Cl, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015048, O=C(NCC(F)(F)F)NC1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015165, C=CCc1ccc(OC)c(CC)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015181, CCc1ccc(C(N)=O)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015224, CN1CCC2CCCC(O)C2C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015235, Cn1cc(-c2cc[nH]n2)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015437, CC(C)(N)C(=O)NC(CO)C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015484, CCNC(S)=NC(C)(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015488, CCC(N)(CO)COC1CCCC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015632, CC(C)Nc1cccc2c1ccn2C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015805, COC1COCC(CO)(CO)CO1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0015942, CCOc1cc(C(=O)NN)ccc1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0016139, Sc1nnc2ccccn12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0016258, CC1(C)CC(C)(C)CC1=NNC(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0016387, c1csc(-c2cnsn2)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0016636, Cn1cc(CNC2CCCC2)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0016644, CCOCc1c(C(N)=O)cnn1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0016654, Cc1cc(C(=O)NCC)ccc1Cl, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0016671, CNC(=N)C12CC3CC(CC(C3)C1)C2, Failed because unsuitable MW, only MW in range [200, 800] will be remained
